u,y
0,-0.396919463
0,0
0,0
0,0
0,0.009290705
0,0.194410527
0,0.194410527
0,0
0,0
0,0
0,0.009290705
0,0
0,0.009290705
0,0
0,0.009290705
0,0
0,0
0,-0.009227859
0,0
0,0
0,0
0,0
0,0
0,-0.009227859
0,-0.20304476
0,-0.20304476
0,-0.20304476
0,-0.009227859
0,0
0,-0.009227859
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
90,0.983920221
90,3.656511532
90,8.282463783
90,13.35037656
90,18.50430015
90,24.77514057
90,31.06898282
90,36.78903491
90,42.67435226
90,48.81997979
90,54.47064373
90,60.20532036
90,66.06186419
90,71.48128548
90,77.23356271
90,82.27994502
90,85.98013316
90,88.75674358
90,90.44318253
90,91.19959671
90,91.39935409
90,91.58619215
90,91.57215191
90,91.60032424
90,91.60032424
90,91.41287826
90,91.41287826
90,91.41287826
90,91.41287826
90,91.41287826
90,91.41287826
90,91.39935409
90,91.22534349
90,91.23834373
90,91.22534349
90,91.22534349
90,91.22534349
90,91.22534349
90,91.22534349
90,91.22534349
90,91.22534349
90,91.22534349
90,91.22534349
90,91.22534349
90,91.22534349
90,91.22534349
90,91.22534349
90,91.22534349
90,91.22534349
90,91.22534349
90,91.22534349
90,91.22534349
90,91.22534349
90,91.22534349
90,91.22534349
90,91.22534349
90,91.22534349
90,91.22534349
90,91.22534349
90,91.22534349
90,91.03772387
0,88.39699172
0,84.10419549
0,79.03806968
0,73.32796012
0,67.41847464
0,61.38168504
0,55.46836008
0,49.46460041
0,43.4811496
0,37.44326905
0,31.33238238
0,25.21083183
0,19.82007903
0,14.32028693
0,9.408503718
0,5.814016662
0,3.080415912
0,0.946419975
0,-0.036540671
0,-0.027497572
0,-0.018393508
0,0.184526832
0,0.184526832
0,0.194410527
0,0.184526832
0,0.388753766
0,0.204361512
0,0.204361512
0,0.204361512
0,0.204361512
0,0.204361512
0,0.204361512
0,0.204361512
0,0.204361512
0,0.204361512
0,0.204361512
0,0.204361512
0,0.204361512
0,0.204361512
0,0.204361512
0,0.204361512
0,0.204361512
0,0.194410527
0,0.194410527
0,0.204361512
0,0.204361512
0,0.194410527
0,0.194410527
0,0.194410527
0,0.204361512
0,0.204361512
0,0.204361512
0,0.194410527
0,0.194410527
0,0.204361512
0,0.009290705
0,0.009290705
0,0.009290705
0,0.009290705
90,0.983920221
90,4.08561678
90,8.621742419
90,13.82578549
90,19.32251858
90,25.1117702
90,30.91104654
90,37.00599188
90,43.21287995
90,48.81997979
90,54.88913341
90,60.45734216
90,66.06186419
90,71.66006897
90,77.23356271
90,82.27994502
90,85.97594833
90,88.75674358
90,90.81516487
90,91.00104597
90,91.21242809
90,91.21242809
90,91.19959671
90,91.19959671
90,91.21242809
90,91.21242809
90,91.19959671
90,91.21242809
90,91.21242809
90,91.21242809
90,91.21242809
90,91.21242809
90,91.19959671
90,91.21242809
90,91.19959671
90,91.21242809
90,91.19959671
90,91.19959671
90,91.19959671
90,91.21242809
90,91.21242809
90,91.21242809
90,91.21242809
90,91.21242809
90,91.19959671
90,91.19959671
90,91.19959671
90,91.19959671
90,91.19959671
90,91.19959671
90,91.19959671
90,91.19959671
90,91.19959671
90,91.19959671
90,91.19959671
90,91.19959671
90,91.19959671
90,91.19959671
90,91.19959671
90,91.19959671
0,91.01319237
0,88.20676253
0,84.29028897
0,79.22276087
0,73.50920214
0,68.00149194
0,61.38168504
0,55.66618676
0,49.94816852
0,43.63115485
0,37.71045925
0,31.81173575
0,25.80777471
0,19.78991829
0,14.79925738
0,10.1116436
0,5.975912796
0,3.485511035
0,1.139150176
0,0.155272735
0,-0.443302886
0,-0.450854556
0,-0.253279346
0,-0.228414431
0,-0.228414431
0,-0.211558346
0,-0.20304476
0,-0.20304476
0,-0.20304476
0,-0.009227859
0,0
0,0
0,0
0,0
0,-0.194473371
0,0
0,0
0,-0.009227859
0,-0.194473371
0,0
0,0
0,0
0,0
0,-0.185843589
0,-0.185843589
0,-0.185843589
0,-0.185843589
0,-0.194473371
0,-0.185843589
0,-0.185843589
0,-0.185843589
0,-0.185843589
0,-0.185843589
0,-0.185843589
0,-0.185843589
0,-0.185843589
0,-0.185843589
0,-0.185843589
0,-0.381036874
0,-0.185843589
0,-0.185843589
90,0.009290705
90,2.714021037
90,6.546290783
90,11.73190685
90,17.45162316
90,23.58257596
90,29.37994496
90,35.31426693
90,41.07185594
90,47.46811791
90,53.26996159
90,58.94753618
90,64.14896495
90,70.48539327
90,76.03674475
90,80.9743353
90,84.87236975
90,87.82994123
90,89.8847169
90,90.98897811
90,91.3725687
90,91.17418275
90,91.17418275
90,91.17418275
90,91.18684853
90,91.18684853
90,91.19959671
90,91.18684853
90,91.18684853
90,91.18684853
90,91.19959671
90,91.18684853
90,91.00104597
90,91.00104597
90,91.00104597
90,91.00104597
90,91.19959671
90,91.19959671
90,91.19959671
90,91.19959671
90,91.19959671
90,91.19959671
90,91.19959671
90,91.19959671
90,91.19959671
90,91.19959671
90,91.19959671
90,91.19959671
90,91.19959671
90,91.19959671
90,91.19959671
90,91.19959671
90,91.19959671
90,91.19959671
90,91.19959671
90,91.19959671
90,91.19959671
90,91.19959671
90,91.19959671
90,91.18684853
90,91.18684853
