y,u
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.983920221,91.41287826
3.656511532,91.41287826
8.282463783,91.41287826
13.35037656,91.41287826
18.50430015,91.41287826
24.77514057,91.41287826
31.06898282,91.41287826
36.78903491,91.41287826
42.67435226,91.41287826
48.81997979,91.41287826
54.47064373,91.41287826
60.20532036,91.41287826
66.06186419,91.41287826
71.48128548,91.41287826
77.23356271,91.41287826
82.27994502,91.41287826
85.98013316,91.41287826
88.75674358,91.41287826
90.44318253,91.41287826
91.19959671,91.41287826
91.39935409,91.41287826
91.58619215,91.41287826
91.57215191,91.41287826
91.60032424,91.41287826
91.60032424,91.41287826
91.41287826,91.41287826
91.41287826,91.41287826
91.41287826,91.41287826
91.41287826,91.41287826
91.41287826,91.41287826
91.41287826,91.41287826
