t,u,y
3.408600869,90,91.19959671
3.42522819,90,91.19959671
3.441855511,90,91.19959671
3.458482832,90,91.19959671
3.475110154,90,91.19959671
3.491737475,90,91.19959671
3.508364796,90,91.19959671
3.524992118,90,91.19959671
3.541619439,90,91.19959671
3.55824676,90,91.19959671
3.574874082,90,91.19959671
3.591501403,90,91.19959671
3.608128724,90,91.19959671
3.624756046,0,91.01319237
3.641383367,0,88.20676253
3.658010688,0,84.29028897
3.67463801,0,79.22276087
3.691265331,0,73.50920214
3.707892652,0,68.00149194
3.724519973,0,61.38168504
3.741147295,0,55.66618676
3.757774616,0,49.94816852
3.774401937,0,43.63115485
3.791029259,0,37.71045925
3.80765658,0,31.81173575
3.824283901,0,25.80777471
3.840911223,0,19.78991829
3.857538544,0,14.79925738
3.874165865,0,10.1116436
3.890793187,0,5.975912796
3.907420508,0,3.485511035
3.924047829,0,1.139150176
3.94067515,0,0.155272735
3.957302472,0,-0.443302886
3.973929793,0,-0.450854556
3.990557114,0,-0.253279346
4.007184436,0,-0.228414431
4.023811757,0,-0.228414431
4.040439078,0,-0.211558346
4.0570664,0,-0.20304476
4.073693721,0,-0.20304476
4.090321042,0,-0.20304476
4.106948364,0,-0.009227859
4.123575685,0,0
4.140203006,0,0
4.156830328,0,0
4.173457649,0,0
4.19008497,0,-0.194473371
4.206712291,0,0
4.223339613,0,0
4.239966934,0,-0.009227859
4.256594255,0,-0.194473371
4.273221577,0,0
4.289848898,0,0
4.306476219,0,0
4.323103541,0,0
4.339730862,0,-0.185843589
4.356358183,0,-0.185843589
4.372985505,0,-0.185843589
4.389612826,0,-0.185843589
4.406240147,0,-0.194473371
4.422867468,0,-0.185843589
4.43949479,0,-0.185843589
4.456122111,0,-0.185843589
4.472749432,0,-0.185843589
4.489376754,0,-0.185843589
4.506004075,0,-0.185843589
4.522631396,0,-0.185843589
4.539258718,0,-0.185843589
4.555886039,0,-0.185843589
4.57251336,0,-0.185843589
4.589140682,0,-0.381036874
4.605768003,0,-0.185843589
4.622395324,0,-0.185843589
4.639022645,90,0.009290705
4.655649967,90,2.714021037
4.672277288,90,6.546290783
4.688904609,90,11.73190685
4.705531931,90,17.45162316
4.722159252,90,23.58257596
4.738786573,90,29.37994496
4.755413895,90,35.31426693
4.772041216,90,41.07185594
4.788668537,90,47.46811791
4.805295859,90,53.26996159
4.82192318,90,58.94753618
4.838550501,90,64.14896495
4.855177823,90,70.48539327
4.871805144,90,76.03674475
4.888432465,90,80.9743353
4.905059786,90,84.87236975
4.921687108,90,87.82994123
4.938314429,90,89.8847169
4.95494175,90,90.98897811
4.971569072,90,91.3725687
4.988196393,90,91.17418275
5.004823714,90,91.17418275
5.021451036,90,91.17418275
5.038078357,90,91.18684853
5.054705678,90,91.18684853
5.071333,90,91.19959671
5.087960321,90,91.18684853
5.104587642,90,91.18684853
5.121214963,90,91.18684853
5.137842285,90,91.19959671
5.154469606,90,91.18684853
5.171096927,90,91.00104597
5.187724249,90,91.00104597
5.20435157,90,91.00104597
5.220978891,90,91.00104597
5.237606213,90,91.19959671
5.254233534,90,91.19959671
5.270860855,90,91.19959671
5.287488177,90,91.19959671
5.304115498,90,91.19959671
5.320742819,90,91.19959671
5.337370141,90,91.19959671
5.353997462,90,91.19959671
5.370624783,90,91.19959671
5.387252104,90,91.19959671
5.403879426,90,91.19959671
5.420506747,90,91.19959671
5.437134068,90,91.19959671
5.45376139,90,91.19959671
5.470388711,90,91.19959671
5.487016032,90,91.19959671
5.503643354,90,91.19959671
5.520270675,90,91.19959671
5.536897996,90,91.19959671
5.553525318,90,91.19959671
5.570152639,90,91.19959671
5.58677996,90,91.19959671
5.603407281,90,91.19959671
5.620034603,90,91.18684853
5.636661924,90,91.18684853
